first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
2020-03-15,2020-03-21,0-19,זכר,1028,32.0,0.0
2020-03-15,2020-03-21,0-19,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,0-19,נקבה,837,34.0,0.0
2020-03-15,2020-03-21,20-24,זכר,662,99.0,0.0
2020-03-15,2020-03-21,20-24,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,20-24,נקבה,610,35.0,0.0
2020-03-15,2020-03-21,25-29,זכר,574,51.0,0.0
2020-03-15,2020-03-21,25-29,נקבה,740,49.0,0.0
2020-03-15,2020-03-21,30-34,זכר,617,56.0,0.0
2020-03-15,2020-03-21,30-34,נקבה,679,32.0,0.0
2020-03-15,2020-03-21,35-39,זכר,544,44.0,0.0
2020-03-15,2020-03-21,35-39,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,35-39,נקבה,547,31.0,0.0
2020-03-15,2020-03-21,40-44,זכר,417,35.0,0.0
2020-03-15,2020-03-21,40-44,נקבה,456,16.0,0.0
2020-03-15,2020-03-21,45-49,זכר,334,34.0,0.0
2020-03-15,2020-03-21,45-49,נקבה,402,16.0,0.0
2020-03-15,2020-03-21,50-54,זכר,278,31.0,0.0
2020-03-15,2020-03-21,50-54,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,50-54,נקבה,378,22.0,0.0
2020-03-15,2020-03-21,55-59,זכר,201,27.0,0.0
2020-03-15,2020-03-21,55-59,נקבה,347,23.0,0.0
2020-03-15,2020-03-21,60-64,זכר,225,19.0,0.0
2020-03-15,2020-03-21,60-64,נקבה,309,22.0,0.0
2020-03-15,2020-03-21,65-69,זכר,267,35.0,0.0
2020-03-15,2020-03-21,65-69,נקבה,237,15.0,0.0
2020-03-15,2020-03-21,70-74,זכר,203,26.0,0.0
2020-03-15,2020-03-21,70-74,נקבה,163,16.0,0.0
2020-03-15,2020-03-21,75-79,זכר,113,<15,0.0
2020-03-15,2020-03-21,75-79,נקבה,92,<15,0.0
2020-03-15,2020-03-21,80+,זכר,201,<15,<15
2020-03-15,2020-03-21,80+,נקבה,246,<15,0.0
2020-03-15,2020-03-21,NULL,זכר,207,<15,0.0
2020-03-15,2020-03-21,NULL,לא ידוע,44,0.0,0.0
2020-03-15,2020-03-21,NULL,נקבה,212,<15,0.0
2020-03-22,2020-03-28,0-19,זכר,2282,176.0,0.0
2020-03-22,2020-03-28,0-19,לא ידוע,22,<15,0.0
2020-03-22,2020-03-28,0-19,נקבה,2053,152.0,0.0
2020-03-22,2020-03-28,20-24,זכר,1936,211.0,0.0
2020-03-22,2020-03-28,20-24,לא ידוע,37,0.0,0.0
2020-03-22,2020-03-28,20-24,נקבה,2021,153.0,0.0
2020-03-22,2020-03-28,25-29,זכר,1906,166.0,0.0
2020-03-22,2020-03-28,25-29,לא ידוע,19,0.0,0.0
2020-03-22,2020-03-28,25-29,נקבה,2143,121.0,0.0
2020-03-22,2020-03-28,30-34,זכר,1771,134.0,0.0
2020-03-22,2020-03-28,30-34,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,30-34,נקבה,1773,116.0,0.0
2020-03-22,2020-03-28,35-39,זכר,1474,117.0,0.0
2020-03-22,2020-03-28,35-39,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,35-39,נקבה,1519,82.0,0.0
2020-03-22,2020-03-28,40-44,זכר,1183,99.0,0.0
2020-03-22,2020-03-28,40-44,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,40-44,נקבה,1260,73.0,0.0
2020-03-22,2020-03-28,45-49,זכר,1000,118.0,0.0
2020-03-22,2020-03-28,45-49,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,45-49,נקבה,1184,86.0,0.0
2020-03-22,2020-03-28,50-54,זכר,751,104.0,0.0
2020-03-22,2020-03-28,50-54,לא ידוע,<15,0.0,0.0
2020-03-22,2020-03-28,50-54,נקבה,1105,106.0,0.0
2020-03-22,2020-03-28,55-59,זכר,763,153.0,<15
2020-03-22,2020-03-28,55-59,לא ידוע,<15,<15,0.0
2020-03-22,2020-03-28,55-59,נקבה,980,76.0,0.0
