first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
2020-03-15,2020-03-21,0-19,זכר,1171,44.0,0.0
2020-03-15,2020-03-21,0-19,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,0-19,נקבה,994,39.0,0.0
2020-03-15,2020-03-21,20-24,זכר,648,99.0,0.0
2020-03-15,2020-03-21,20-24,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,20-24,נקבה,673,43.0,0.0
2020-03-15,2020-03-21,25-29,זכר,575,53.0,0.0
2020-03-15,2020-03-21,25-29,נקבה,744,45.0,0.0
2020-03-15,2020-03-21,30-34,זכר,598,51.0,0.0
2020-03-15,2020-03-21,30-34,נקבה,652,31.0,0.0
2020-03-15,2020-03-21,35-39,זכר,527,45.0,0.0
2020-03-15,2020-03-21,35-39,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,35-39,נקבה,530,29.0,0.0
2020-03-15,2020-03-21,40-44,זכר,370,32.0,0.0
2020-03-15,2020-03-21,40-44,נקבה,421,18.0,0.0
2020-03-15,2020-03-21,45-49,זכר,332,35.0,0.0
2020-03-15,2020-03-21,45-49,לא ידוע,<15,0.0,0.0
2020-03-15,2020-03-21,45-49,נקבה,406,17.0,0.0
2020-03-15,2020-03-21,50-54,זכר,263,33.0,0.0
2020-03-15,2020-03-21,50-54,נקבה,369,24.0,0.0
2020-03-15,2020-03-21,55-59,זכר,185,21.0,0.0
2020-03-15,2020-03-21,55-59,נקבה,355,25.0,0.0
2020-03-15,2020-03-21,60-64,זכר,233,23.0,0.0
2020-03-15,2020-03-21,60-64,נקבה,303,18.0,0.0
2020-03-15,2020-03-21,65-69,זכר,242,28.0,0.0
2020-03-15,2020-03-21,65-69,נקבה,205,17.0,0.0
2020-03-15,2020-03-21,70-74,זכר,195,26.0,0.0
2020-03-15,2020-03-21,70-74,נקבה,144,<15,0.0
2020-03-15,2020-03-21,75-79,זכר,102,<15,0.0
2020-03-15,2020-03-21,75-79,נקבה,80,<15,0.0
2020-03-15,2020-03-21,80+,זכר,182,<15,<15
2020-03-15,2020-03-21,80+,נקבה,219,<15,0.0
