VaccinationDate,age_group,first_dose,second_dose
2021-07-04,80-89,62,23
2021-07-05,50-59,462,126
2021-07-05,90+,<15,<15
2021-07-05,70-79,131,44
2021-07-05,60-69,236,92
2021-07-05,40-49,694,198
2021-07-05,30-39,863,240
2021-07-05,80-89,45,15
2021-07-05,20-29,1179,277
2021-07-05,0-19,14013,1867
2021-07-06,30-39,921,311
2021-07-06,70-79,143,49
2021-07-06,60-69,293,80
2021-07-06,80-89,58,19
2021-07-06,90+,16,<15
2021-07-06,50-59,415,121
2021-07-06,40-49,674,212
2021-07-06,20-29,1319,355
2021-07-06,0-19,13859,2040
2021-07-07,60-69,232,88
2021-07-07,40-49,666,147
2021-07-07,20-29,1030,231
2021-07-07,70-79,110,45
2021-07-07,30-39,823,248
2021-07-07,90+,24,<15
2021-07-07,50-59,377,105
2021-07-07,80-89,66,24
2021-07-07,0-19,11952,1600
2021-07-08,50-59,408,123
2021-07-08,0-19,12627,1666
2021-07-08,60-69,245,75
2021-07-08,20-29,1223,270
2021-07-08,70-79,143,41
2021-07-08,90+,29,<15
2021-07-08,40-49,673,192
2021-07-08,30-39,951,259
2021-07-08,80-89,81,21
2021-07-09,50-59,288,49
2021-07-09,20-29,731,98
2021-07-09,60-69,124,51
2021-07-09,90+,<15,<15
2021-07-09,40-49,487,95
2021-07-09,30-39,614,124
2021-07-09,70-79,61,18
2021-07-09,80-89,42,20
2021-07-09,0-19,8632,839
2021-07-10,70-79,25,<15
2021-07-10,30-39,270,44
2021-07-10,60-69,69,<15
2021-07-10,40-49,235,47
2021-07-10,50-59,135,22
2021-07-10,80-89,<15,0
2021-07-10,0-19,3783,117
2021-07-10,20-29,354,61
2021-07-11,50-59,101,68
2021-07-11,60-69,49,65
2021-07-11,30-39,234,219
2021-07-11,90+,0,<15
2021-07-11,40-49,171,149
2021-07-11,70-79,20,24
2021-07-11,20-29,298,237
2021-07-11,0-19,505,1968
2021-07-11,80-89,<15,21
2021-07-12,70-79,23,26
2021-07-12,30-39,261,213
2021-07-12,90+,<15,<15
2021-07-12,40-49,213,133
2021-07-12,60-69,70,52
2021-07-12,20-29,447,295
2021-07-12,50-59,128,88
2021-07-12,0-19,1157,2679
2021-07-12,80-89,<15,<15
2021-07-13,50-59,136,101
2021-07-13,30-39,340,224
2021-07-13,40-49,209,149
2021-07-13,60-69,63,51
2021-07-13,70-79,31,27
2021-07-13,90+,<15,<15
2021-07-13,80-89,17,16
2021-07-13,0-19,1501,4296
2021-07-13,20-29,533,360
