Date,severe_new
04/03/2021,77
05/03/2021,68
06/03/2021,80
07/03/2021,53
08/03/2021,87
09/03/2021,47
10/03/2021,67
11/03/2021,58
12/03/2021,68
13/03/2021,38
14/03/2021,66
15/03/2021,54
16/03/2021,56
17/03/2021,36
18/03/2021,55
19/03/2021,44
20/03/2021,35
21/03/2021,42
22/03/2021,28
23/03/2021,37
24/03/2021,34
25/03/2021,42
26/03/2021,21
27/03/2021,10
28/03/2021,22
29/03/2021,21
30/03/2021,15
31/03/2021,16
01/04/2021,15
02/04/2021,10
03/04/2021,14
04/04/2021,11
05/04/2021,13
06/04/2021,10
07/04/2021,12
08/04/2021,11
09/04/2021,14
10/04/2021,10
11/04/2021,12
12/04/2021,11
13/04/2021,11
14/04/2021,3
15/04/2021,0
16/04/2021,6
17/04/2021,4
18/04/2021,13
19/04/2021,11
20/04/2021,3
21/04/2021,7
22/04/2021,2
23/04/2021,6
24/04/2021,0
25/04/2021,2
26/04/2021,9
27/04/2021,3
28/04/2021,0
29/04/2021,2
30/04/2021,3
01/05/2021,2
02/05/2021,3
03/05/2021,3
04/05/2021,1
05/05/2021,1
06/05/2021,1
07/05/2021,2
08/05/2021,2
09/05/2021,0
10/05/2021,1
11/05/2021,0
12/05/2021,0
13/05/2021,1
14/05/2021,1
15/05/2021,0
16/05/2021,2
17/05/2021,0
18/05/2021,1
19/05/2021,2
20/05/2021,0
21/05/2021,0
22/05/2021,2
23/05/2021,0
24/05/2021,0
25/05/2021,0
26/05/2021,0
27/05/2021,1
28/05/2021,1
29/05/2021,0
30/05/2021,1
31/05/2021,0
01/06/2021,1
02/06/2021,1
03/06/2021,2
04/06/2021,0
05/06/2021,0
06/06/2021,1
07/06/2021,0
08/06/2021,1
09/06/2021,0
10/06/2021,0
11/06/2021,0
12/06/2021,1
13/06/2021,0
14/06/2021,1
15/06/2021,0
16/06/2021,0
17/06/2021,0
18/06/2021,0
19/06/2021,0
20/06/2021,2
21/06/2021,0
22/06/2021,2
23/06/2021,0
24/06/2021,0
25/06/2021,1
26/06/2021,1
27/06/2021,1
28/06/2021,0
29/06/2021,0
30/06/2021,5
01/07/2021,0
02/07/2021,3
03/07/2021,4
04/07/2021,5
05/07/2021,5
06/07/2021,7
07/07/2021,9
08/07/2021,7
09/07/2021,5
10/07/2021,5
11/07/2021,10
12/07/2021,5
13/07/2021,6
