first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
2020-03-29,2020-04-04,0-19,נקבה,2815,291.0,0.0
2020-03-29,2020-04-04,20-24,זכר,4225,331.0,0.0
2020-03-29,2020-04-04,20-24,לא ידוע,19,0.0,0.0
2020-03-29,2020-04-04,20-24,נקבה,3959,245.0,0.0
2020-03-29,2020-04-04,25-29,זכר,3181,254.0,0.0
2020-03-29,2020-04-04,25-29,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,25-29,נקבה,2859,174.0,0.0
2020-03-29,2020-04-04,30-34,זכר,2870,188.0,0.0
2020-03-29,2020-04-04,30-34,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,30-34,נקבה,2609,118.0,0.0
2020-03-29,2020-04-04,35-39,זכר,2533,149.0,0.0
2020-03-29,2020-04-04,35-39,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,35-39,נקבה,2194,102.0,0.0
2020-03-29,2020-04-04,40-44,זכר,2009,167.0,0.0
2020-03-29,2020-04-04,40-44,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,40-44,נקבה,2039,122.0,0.0
2020-03-29,2020-04-04,45-49,זכר,1783,176.0,0.0
2020-03-29,2020-04-04,45-49,לא ידוע,<15,<15,0.0
2020-03-29,2020-04-04,45-49,נקבה,1988,111.0,<15
2020-03-29,2020-04-04,50-54,זכר,1463,131.0,0.0
2020-03-29,2020-04-04,50-54,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,50-54,נקבה,1849,113.0,<15
2020-03-29,2020-04-04,55-59,זכר,1378,149.0,0.0
2020-03-29,2020-04-04,55-59,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,55-59,נקבה,1693,130.0,0.0
2020-03-29,2020-04-04,60-64,זכר,1352,152.0,0.0
2020-03-29,2020-04-04,60-64,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,60-64,נקבה,1401,111.0,0.0
2020-03-29,2020-04-04,65-69,זכר,1094,128.0,<15
2020-03-29,2020-04-04,65-69,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,65-69,נקבה,904,84.0,<15
2020-03-29,2020-04-04,70-74,זכר,768,99.0,<15
2020-03-29,2020-04-04,70-74,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,70-74,נקבה,609,59.0,<15
2020-03-29,2020-04-04,75-79,זכר,408,59.0,<15
2020-03-29,2020-04-04,75-79,נקבה,374,43.0,0.0
2020-03-29,2020-04-04,80+,זכר,852,82.0,<15
2020-03-29,2020-04-04,80+,לא ידוע,<15,0.0,0.0
2020-03-29,2020-04-04,80+,נקבה,1095,102.0,<15
2020-03-29,2020-04-04,NULL,זכר,593,28.0,0.0
2020-03-29,2020-04-04,NULL,לא ידוע,143,<15,0.0
2020-03-29,2020-04-04,NULL,נקבה,575,21.0,0.0
2020-04-05,2020-04-11,0-19,זכר,2908,322.0,<15
2020-04-05,2020-04-11,0-19,לא ידוע,31,0.0,0.0
2020-04-05,2020-04-11,0-19,נקבה,2305,243.0,0.0
2020-04-05,2020-04-11,20-24,זכר,2861,212.0,0.0
2020-04-05,2020-04-11,20-24,לא ידוע,27,<15,0.0
2020-04-05,2020-04-11,20-24,נקבה,2509,189.0,0.0
2020-04-05,2020-04-11,25-29,זכר,2593,165.0,0.0
2020-04-05,2020-04-11,25-29,לא ידוע,21,0.0,0.0
2020-04-05,2020-04-11,25-29,נקבה,2074,105.0,0.0
2020-04-05,2020-04-11,30-34,זכר,2245,110.0,0.0
2020-04-05,2020-04-11,30-34,לא ידוע,<15,0.0,0.0
2020-04-05,2020-04-11,30-34,נקבה,1795,81.0,0.0
2020-04-05,2020-04-11,35-39,זכר,1793,85.0,<15
2020-04-05,2020-04-11,35-39,לא ידוע,<15,0.0,0.0
2020-04-05,2020-04-11,35-39,נקבה,1457,64.0,0.0
2020-04-05,2020-04-11,40-44,זכר,1489,82.0,0.0
2020-04-05,2020-04-11,40-44,לא ידוע,<15,0.0,0.0
2020-04-05,2020-04-11,40-44,נקבה,1437,79.0,0.0
2020-04-05,2020-04-11,45-49,זכר,1420,84.0,0.0
2020-04-05,2020-04-11,45-49,לא ידוע,<15,0.0,0.0
2020-04-05,2020-04-11,45-49,נקבה,1384,73.0,0.0
2020-04-05,2020-04-11,50-54,זכר,1284,83.0,0.0
2020-04-05,2020-04-11,50-54,לא ידוע,<15,0.0,0.0
2020-04-05,2020-04-11,50-54,נקבה,1411,87.0,<15
2020-04-05,2020-04-11,55-59,זכר,1176,81.0,0.0
2020-04-05,2020-04-11,55-59,לא ידוע,<15,0.0,0.0
2020-04-05,2020-04-11,55-59,נקבה,1242,79.0,0.0
2020-04-05,2020-04-11,60-64,זכר,1064,81.0,<15
2020-04-05,2020-04-11,60-64,לא ידוע,<15,0.0,0.0
2020-04-05,2020-04-11,60-64,נקבה,1031,54.0,<15
2020-04-05,2020-04-11,65-69,זכר,831,58.0,<15
2020-04-05,2020-04-11,65-69,לא ידוע,<15,0.0,0.0
2020-04-05,2020-04-11,65-69,נקבה,784,38.0,<15
2020-04-05,2020-04-11,70-74,זכר,655,38.0,<15
2020-04-05,2020-04-11,70-74,לא ידוע,<15,0.0,0.0
2020-04-05,2020-04-11,70-74,נקבה,626,48.0,<15
2020-04-05,2020-04-11,75-79,זכר,450,27.0,<15
2020-04-05,2020-04-11,75-79,נקבה,450,23.0,<15
2020-04-05,2020-04-11,80+,זכר,962,51.0,<15
2020-04-05,2020-04-11,80+,לא ידוע,<15,0.0,0.0
2020-04-05,2020-04-11,80+,נקבה,1807,100.0,25.0
2020-04-05,2020-04-11,NULL,זכר,577,26.0,0.0
